[ default 2023-04-26 수요일 15:35:31 043 ] 프로그램 시작
[ default 2023-04-26 수요일 16:11:28 661 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:11:28 948 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:11:28 963 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:11:28 969 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:11:28 971 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:11:29 012 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:11:29 354 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:11:29 572 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:11:29 578 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:11:29 580 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:11:29 665 ] Settings_Page -> XMLSave 
[ default 2023-04-26 수요일 16:11:29 709 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:11:29 791 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:11:34 072 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:11:35 067 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:11:38 251 ] Form1 -> Form1_FormClosing 
[ default 2023-04-26 수요일 16:11:38 260 ] RealTimeView_Page -> CameraClose 
[ default 2023-04-26 수요일 16:11:38 262 ] CameraControl -> Stop 
[ default 2023-04-26 수요일 16:11:39 601 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:11:39 630 ] CameraControl -> Stop 
[ default 2023-04-26 수요일 16:11:40 984 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:11:40 997 ] CameraControl -> Stop 
[ default 2023-04-26 수요일 16:11:41 322 ] CameraControl -> Close 
[ default 2023-04-26 수요일 16:11:41 337 ] VideoCheck_Page -> VideoClose 
[ default 2023-04-26 수요일 16:11:41 338 ] VideoAnalysis_Page -> VideoClose 
[ default 2023-04-26 수요일 16:12:46 273 ] 프로그램 시작
[ default 2023-04-26 수요일 16:12:48 626 ] Form1 -> Form1_Shown 
[ default 2023-04-26 수요일 16:12:49 181 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:12:49 544 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-26 수요일 16:12:49 545 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-26 수요일 16:12:49 546 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:12:49 914 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:12:49 956 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:12:49 971 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:12:49 983 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:12:50 028 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:12:50 310 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:12:50 322 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:12:50 329 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:12:50 334 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:12:50 459 ] CameraControl -> CameraOpen 
[ default 2023-04-26 수요일 16:12:50 884 ] CameraControl -> open 
[ default 2023-04-26 수요일 16:12:50 919 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-26 수요일 16:12:50 928 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-26 수요일 16:12:50 931 ] CameraControl -> Start 
[ default 2023-04-26 수요일 16:12:51 102 ] Settings_Page -> XMLSave 
[ default 2023-04-26 수요일 16:12:51 138 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:12:51 263 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-26 수요일 16:12:54 196 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:54 250 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:54 643 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:54 779 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 107 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 201 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 323 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 522 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 534 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 535 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 626 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 698 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 882 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 884 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 885 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:55 994 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:56 082 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:56 306 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:56 308 ] Settings_Page -> WorkUserChange 
[ default 2023-04-26 수요일 16:12:56 843 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:12:56 930 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:12:57 042 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:12:57 139 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-26 수요일 16:12:57 140 ] Settings_Page -> WorkTargetChange 
