[ default 2023-04-28 금요일 14:20:51 220 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:20:51 321 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:20:51 392 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:20:51 464 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:20:51 467 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:20:51 469 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:20:52 563 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:20:52 567 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-28 금요일 14:20:52 998 ] Settings_Page -> WorkUserSet 
[ default 2023-04-28 금요일 17:16:28 162 ] 프로그램 시작
[ default 2023-04-28 금요일 17:16:30 592 ] Form1 -> Form1_Shown 
[ default 2023-04-28 금요일 17:16:32 051 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-28 금요일 17:16:32 497 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-28 금요일 17:16:32 498 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-28 금요일 17:16:32 499 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-28 금요일 17:16:32 500 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 17:16:32 502 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 17:16:32 804 ] CameraControl -> open 
[ default 2023-04-28 금요일 17:16:32 842 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 17:16:32 857 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 17:16:32 873 ] CameraControl -> Start 
[ default 2023-04-28 금요일 17:16:32 931 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 17:16:33 399 ] CameraControl -> open 
[ default 2023-04-28 금요일 17:16:33 420 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 17:16:33 428 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 17:16:33 432 ] CameraControl -> Start 
[ default 2023-04-28 금요일 17:16:33 528 ] CameraControl -> CameraOpen 
[ default 2023-04-28 금요일 17:16:34 174 ] CameraControl -> open 
[ default 2023-04-28 금요일 17:16:34 207 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-28 금요일 17:16:34 217 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-28 금요일 17:16:34 224 ] CameraControl -> Start 
[ default 2023-04-28 금요일 17:16:34 422 ] Settings_Page -> XMLSave 
[ default 2023-04-28 금요일 17:16:34 477 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-28 금요일 17:16:34 648 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-28 금요일 17:16:38 244 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 17:16:38 272 ] Settings_Page -> WorkUserChange 
[ default 2023-04-28 금요일 17:16:38 408 ] Settings_Page -> WorkUserChange 
