[ default 2023-04-27 목요일 09:46:03 819 ] CameraControl -> open 
[ default 2023-04-27 목요일 09:46:03 842 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 09:46:03 850 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 09:46:03 854 ] CameraControl -> Start 
[ default 2023-04-27 목요일 09:46:04 000 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 09:46:04 039 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:46:04 118 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-27 목요일 09:46:07 014 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 055 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 207 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 423 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 426 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 428 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 559 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 598 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 783 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 785 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 786 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 887 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:07 959 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:08 184 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:08 186 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 09:46:08 488 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:08 584 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:08 647 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:08 758 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:08 760 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:08 761 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:08 838 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:08 942 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:08 944 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:08 945 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:09 031 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:09 134 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:09 136 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:09 137 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:09 239 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:09 342 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:09 344 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:09 345 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:09 439 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:10 718 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:10 719 ] Settings_Page -> WorkTargetChange 
[ default 2023-04-27 목요일 09:46:10 815 ] Settings_Page -> WorkUserSet 
[ default 2023-04-27 목요일 16:51:15 939 ] 프로그램 시작
[ default 2023-04-27 목요일 16:51:18 352 ] Form1 -> Form1_Shown 
[ default 2023-04-27 목요일 16:51:19 382 ] RealTimeView_Page -> PanelSettings 
[ default 2023-04-27 목요일 16:51:19 777 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ default 2023-04-27 목요일 16:51:19 778 ] RealTimeView_Page -> VideoSetLoad 
[ default 2023-04-27 목요일 16:51:19 779 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ default 2023-04-27 목요일 16:51:19 781 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 16:51:19 783 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 16:51:20 084 ] CameraControl -> open 
[ default 2023-04-27 목요일 16:51:20 116 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 16:51:20 136 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 16:51:20 154 ] CameraControl -> Start 
[ default 2023-04-27 목요일 16:51:20 232 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 16:51:20 641 ] CameraControl -> open 
[ default 2023-04-27 목요일 16:51:20 652 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 16:51:20 658 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 16:51:20 664 ] CameraControl -> Start 
[ default 2023-04-27 목요일 16:51:20 705 ] CameraControl -> CameraOpen 
[ default 2023-04-27 목요일 16:51:21 048 ] CameraControl -> open 
[ default 2023-04-27 목요일 16:51:21 072 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-04-27 목요일 16:51:21 084 ] CameraControl -> SetEnableImageCallback 
[ default 2023-04-27 목요일 16:51:21 090 ] CameraControl -> Start 
[ default 2023-04-27 목요일 16:51:21 287 ] Settings_Page -> XMLSave 
[ default 2023-04-27 목요일 16:51:21 326 ] VideoCheck_Page -> PanelSettings 
[ default 2023-04-27 목요일 16:51:21 473 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-04-27 목요일 16:51:25 387 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:25 460 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:25 579 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:25 771 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:25 776 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:25 779 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:25 899 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:25 939 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:26 107 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:26 109 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:26 110 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:26 219 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:26 331 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:26 556 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:26 559 ] Settings_Page -> WorkUserChange 
[ default 2023-04-27 목요일 16:51:26 972 ] Settings_Page -> WorkTargetChange 
