[ 2023-04-19 수요일 10:47:12 330 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:47:12 331 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:51:21 774 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:51:26 361 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:51:32 773 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:51:40 739 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:51:44 891 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:51:44 892 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:51:45 711 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:51:45 855 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:51:46 031 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:51:46 198 ] Settings_Page -> OnlyDigitPress 
[ 2023-04-19 수요일 10:51:46 435 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:51:46 436 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:55:05 108 ] Settings_Page -> PixelLengthChange 
[ 2023-04-19 수요일 10:55:05 109 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:55:05 191 ] Form1 -> NavigationClick 
[ 2023-04-19 수요일 10:55:27 541 ] RealTimeView_Page -> RealTimeView_CamActions 
[ 2023-04-19 수요일 10:55:29 333 ] RealTimeView_Page -> RealTimeView_CamActions 
[ 2023-04-19 수요일 10:55:30 365 ] RealTimeView_Page -> RealTimeView_CamActions 
[ 2023-04-19 수요일 10:55:31 593 ] Form1 -> Form1_FormClosing 
[ 2023-04-19 수요일 10:55:31 604 ] RealTimeView_Page -> CameraClose 
[ 2023-04-19 수요일 10:55:31 708 ] CameraControl -> Stop 
[ 2023-04-19 수요일 10:55:31 852 ] CameraControl -> Close 
[ 2023-04-19 수요일 10:55:31 955 ] CameraControl -> Stop 
[ 2023-04-19 수요일 10:55:32 019 ] CameraControl -> Close 
[ 2023-04-19 수요일 10:55:32 120 ] CameraControl -> Stop 
[ 2023-04-19 수요일 10:55:32 485 ] CameraControl -> Close 
[ 2023-04-19 수요일 10:55:32 520 ] VideoCheck_Page -> VideoClose 
[ 2023-04-19 수요일 10:55:32 521 ] VideoAnalysis_Page -> VideoClose 
[ 2023-04-19 수요일 10:55:43 797 ] 프로그램 시작
[ 2023-04-19 수요일 10:55:46 095 ] Form1 -> Form1_Shown 
[ 2023-04-19 수요일 10:55:46 562 ] RealTimeView_Page -> PanelSettings 
[ 2023-04-19 수요일 10:55:46 877 ] RealTimeView_Page -> RealTimeView_Page_Load 
[ 2023-04-19 수요일 10:55:46 878 ] RealTimeView_Page -> VideoSetLoad 
[ 2023-04-19 수요일 10:55:46 878 ] RealTimeView_Page -> cb_TextView_SelectedValueChanged 
[ 2023-04-19 수요일 10:55:46 879 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:55:46 881 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 10:55:47 125 ] CameraControl -> open 
[ 2023-04-19 수요일 10:55:47 159 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 10:55:47 177 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 10:55:47 189 ] CameraControl -> Start 
[ 2023-04-19 수요일 10:55:47 234 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 10:55:47 503 ] CameraControl -> open 
[ 2023-04-19 수요일 10:55:47 525 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 10:55:47 531 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 10:55:47 534 ] CameraControl -> Start 
[ 2023-04-19 수요일 10:55:47 578 ] CameraControl -> CameraOpen 
[ 2023-04-19 수요일 10:55:47 905 ] CameraControl -> open 
[ 2023-04-19 수요일 10:55:47 919 ] RealTimeView_Page -> CreateBitmap 
[ 2023-04-19 수요일 10:55:47 925 ] CameraControl -> SetEnableImageCallback 
[ 2023-04-19 수요일 10:55:47 928 ] CameraControl -> Start 
[ 2023-04-19 수요일 10:55:47 986 ] Settings_Page -> XMLSave 
[ 2023-04-19 수요일 10:55:48 032 ] VideoCheck_Page -> PanelSettings 
[ 2023-04-19 수요일 10:55:48 124 ] VideoAnalysis_Page -> PanelSettings 
[ 2023-04-19 수요일 10:56:08 563 ] Form1 -> Form1_FormClosing 
[ 2023-04-19 수요일 10:56:08 574 ] RealTimeView_Page -> CameraClose 
