[  2023-05-09 화요일 09:29:52 472 ] 파일 생성 성공
[ 커피 2023-05-09 화요일 10:42:55 438 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:42:55 439 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:43:00 158 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:43:00 158 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:43:00 748 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:43:00 749 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:43:19 443 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:43:20 898 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:43:20 898 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:43:22 139 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:43:22 140 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:43:33 061 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:43:33 063 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:43:33 845 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:43:33 845 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:47:12 113 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:47:15 111 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:47:15 112 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:47:16 001 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:47:16 002 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:47:26 470 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:47:26 471 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:47:26 999 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:47:27 000 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:49:10 441 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:49:14 400 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:49:14 401 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:49:15 100 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:49:15 101 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:49:42 852 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:49:42 852 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:49:45 603 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:49:45 605 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:49:46 713 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:49:46 714 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:49:48 258 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:49:48 261 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:49:51 369 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:49:51 371 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:49:55 879 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 10:49:55 879 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 10:50:01 404 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:50:01 405 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:50:09 846 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:50:09 847 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:50:40 146 ] VideoAnalysis_Page -> FilterClick 
[ 커피 2023-05-09 화요일 10:50:58 736 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:50:58 736 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 10:51:00 313 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 10:51:00 313 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 11:33:24 324 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:33:24 335 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 11:33:54 142 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:33:54 143 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 11:35:17 775 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:35:17 789 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 11:35:22 663 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 11:35:22 665 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 11:35:56 303 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:35:56 330 ] VideoAnalysis_Page -> VideoCheck_Stop1 
[ 커피 2023-05-09 화요일 11:36:00 012 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 11:36:00 024 ] VideoAnalysis_Page -> VideoCheck_Stop2 
[ 커피 2023-05-09 화요일 11:36:02 099 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:36:02 099 ] VideoAnalysis_Page -> VideoCheck_Play1 
[ 커피 2023-05-09 화요일 11:36:05 712 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 11:36:05 718 ] VideoAnalysis_Page -> VideoCheck_Play2 
[ 커피 2023-05-09 화요일 11:36:36 370 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:36:36 373 ] VideoAnalysis_Page -> VideoCheck_Stop1 
[ 커피 2023-05-09 화요일 11:36:37 520 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions2 
[ 커피 2023-05-09 화요일 11:36:37 522 ] VideoAnalysis_Page -> VideoCheck_Stop2 
[ 커피 2023-05-09 화요일 11:36:38 347 ] VideoAnalysis_Page -> VideoAnalysis_ButtonActions1 
[ 커피 2023-05-09 화요일 11:36:38 357 ] VideoAnalysis_Page -> VideoCheck_FileClose1 
