[  2023-05-18 목요일 09:50:31 266 ] 파일 생성 성공
[ default 2023-05-18 목요일 17:08:17 046 ] CameraControl -> open 
[ default 2023-05-18 목요일 17:08:17 079 ] RealTimeView_Page -> CreateBitmap 
[ default 2023-05-18 목요일 17:08:17 096 ] CameraControl -> SetEnableImageCallback 
[ default 2023-05-18 목요일 17:08:17 109 ] CameraControl -> Start 
[ default 2023-05-18 목요일 17:08:17 708 ] CameraControl -> CameraOpen 
[ default 2023-05-18 목요일 17:08:17 735 ] CameraControl -> CameraOpen There is no available device.
[ default 2023-05-18 목요일 17:08:21 353 ] Form1 -> Form1_Shown 
[ default 2023-05-18 목요일 17:08:21 418 ] VideoCheck_Page -> PanelSettings 
[ default 2023-05-18 목요일 17:08:21 561 ] VideoAnalysis_Page -> PanelSettings 
[ default 2023-05-18 목요일 17:08:23 962 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:08:24 090 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:08:24 093 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:08:24 094 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:08:24 234 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:08:24 236 ] Settings_Page -> WorkUserChange 
[ default 2023-05-18 목요일 17:08:24 537 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:08:24 656 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:08:24 657 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:08:24 658 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:08:24 824 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:08:24 825 ] Settings_Page -> WorkTargetChange 
[ default 2023-05-18 목요일 17:08:24 827 ] Settings_Page -> WorkUserSet 
